#proc cat nGausRV nGausWV
GG2H TTHHadronicTag 4 3
GG2H TTHLeptonicTag 4 1
GG2H UntaggedTag_0 4 3
GG2H UntaggedTag_1 4 3
GG2H UntaggedTag_2 4 3
GG2H UntaggedTag_3 4 3
GG2H VBFTag_0 2 3
GG2H VBFTag_1 4 3
QQ2HLL TTHHadronicTag 4 1
QQ2HLL TTHLeptonicTag 4 1
QQ2HLL UntaggedTag_0 4 3
QQ2HLL UntaggedTag_1 4 3
QQ2HLL UntaggedTag_2 2 3
QQ2HLL UntaggedTag_3 4 3
QQ2HLL VBFTag_0 4 1
QQ2HLL VBFTag_1 4 3
QQ2HLNU TTHHadronicTag 4 1
QQ2HLNU TTHLeptonicTag 4 1
QQ2HLNU UntaggedTag_0 4 3
QQ2HLNU UntaggedTag_1 4 3
QQ2HLNU UntaggedTag_2 2 3
QQ2HLNU UntaggedTag_3 4 3
QQ2HLNU VBFTag_0 4 1
QQ2HLNU VBFTag_1 4 3
TTH TTHHadronicTag 4 3
TTH TTHLeptonicTag 4 3
TTH UntaggedTag_0 4 1
TTH UntaggedTag_1 4 3
TTH UntaggedTag_2 4 1
TTH UntaggedTag_3 4 3
TTH VBFTag_0 4 1
TTH VBFTag_1 4 1
VBF TTHHadronicTag 4 3
VBF TTHLeptonicTag 4 1
VBF UntaggedTag_0 4 3
VBF UntaggedTag_1 4 3
VBF UntaggedTag_2 4 3
VBF UntaggedTag_3 4 3
VBF VBFTag_0 4 3
VBF VBFTag_1 4 3
VH2HQQ TTHHadronicTag 4 1
VH2HQQ TTHLeptonicTag 4 1
VH2HQQ UntaggedTag_0 4 3
VH2HQQ UntaggedTag_1 4 3
VH2HQQ UntaggedTag_2 2 3
VH2HQQ UntaggedTag_3 4 3
VH2HQQ VBFTag_0 4 1
VH2HQQ VBFTag_1 4 3
